UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2018,29,4547748,2306020,2241728,1701766,1621914,338162,345945,34401,30913,165230,174384,7467,6836,58994,61736,1753033,1675663,361521,372356,53178,50014,189260,198905,13520,12849,1821382,1805560,1277196,1241974,313949,321887,18848,18159,160309,169368,5419,5137,45661,49035,1316739,1284571,331402,342410,31517,31661,180876,190428,10219,9940,484638,436168,424570,379940,24213,24058,15553,12754,4921,5016,2048,1699,13333,12701,436294,391092,30119,29946,21661,18353,8384,8477,3301,2909
R,1,2018,30,4433506,2249542,2183964,1675569,1590990,318764,328191,32994,29780,159105,169216,7461,6609,55649,59178,1723780,1642606,340682,353126,50939,48337,181801,192705,13372,12507,1771842,1756209,1255728,1217730,295713,304988,17880,17375,154344,164528,5346,4948,42831,46640,1292598,1258312,311999,324192,29910,30309,173742,184724,10042,9633,477700,427755,419841,373260,23051,23203,15114,12405,4761,4688,2115,1661,12818,12538,431182,384294,28683,28934,21029,18028,8059,7981,3330,2874
R,1,2018,31,4395809,2226424,2169385,1668379,1588600,307174,320059,32531,29246,158016,168351,7360,6612,52964,56517,1714478,1637645,327354,343765,50007,47755,179712,190594,12880,12143,1750975,1742945,1250060,1216077,284563,296980,17356,16845,153260,163859,5218,4907,40518,44277,1285155,1254325,299269,315162,29029,29688,171789,182897,9615,9338,475449,426440,418319,372523,22611,23079,15175,12401,4756,4492,2142,1705,12446,12240,429323,383320,28085,28603,20978,18067,7923,7697,3265,2805
R,1,2018,32,4449662,2251520,2198142,1695294,1616077,305310,319359,32444,29486,159423,171182,7422,6730,51627,55308,1739992,1664080,324923,341832,49839,47678,180351,193231,12952,12465,1767251,1766037,1268900,1237997,282455,296395,16744,16909,154732,166605,5247,5121,39173,43010,1302585,1275155,296621,313216,28289,29656,172530,185448,9600,9708,484269,432105,426394,378080,22855,22964,15700,12577,4691,4577,2175,1609,12454,12298,437407,388925,28302,28616,21550,18022,7821,7783,3352,2757
R,1,2018,33,4389290,2209651,2179639,1666857,1602831,294239,313804,31640,29139,160101,173563,7140,6457,49674,53845,1709904,1649416,312546,335171,48591,47213,180422,195384,12642,12032,1735656,1750166,1248881,1226737,272387,291229,16468,16524,155412,169169,5025,4783,37483,41724,1281138,1262714,285461,307006,27668,29076,172685,187795,9366,9238,473995,429473,417976,376094,21852,22575,15172,12615,4689,4394,2115,1674,12191,12121,428766,386702,27085,28165,20923,18137,7737,7589,3276,2794
R,1,2018,34,4309120,2163660,2145460,1635977,1578786,284851,306976,31085,28635,156767,172054,7031,6516,47949,52493,1677429,1624210,302482,327316,47600,46776,176502,193244,12254,12078,1700250,1720344,1226937,1206488,263734,284638,16039,16101,152308,167794,5026,4876,36206,40447,1258007,1241291,276241,299643,27063,28679,169011,185818,9136,9279,463410,425116,409040,372298,21117,22338,15046,12534,4459,4260,2005,1640,11743,12046,419422,382919,26241,27673,20537,18097,7491,7426,3118,2799
R,1,2018,35,4391280,2201572,2189708,1667678,1613683,289051,313209,31705,29233,157684,174096,7161,6710,48293,52777,1709456,1659221,306623,333822,48724,47724,177268,195175,12547,12244,1725252,1751405,1246855,1229616,267466,290117,16323,16405,153050,169529,5117,4977,36441,40761,1278128,1264548,279895,305312,27698,29316,169657,187499,9394,9413,476320,438303,420823,384067,21585,23092,15382,12828,4634,4567,2044,1733,11852,12016,431328,394673,26728,28510,21026,18408,7611,7676,3153,2831
R,1,2018,36,4291520,2144894,2146626,1630409,1585280,280886,307764,29937,28002,150290,168682,7016,6261,46356,50637,1670365,1628931,297667,327677,46653,45901,168913,188635,12089,11676,1688159,1718950,1227024,1210064,260184,285577,15297,15563,145811,164221,4994,4578,34849,38947,1256820,1243473,272043,300227,26484,27976,161510,181181,8985,8879,456735,427676,403385,375216,20702,22187,14640,12439,4479,4461,2022,1683,11507,11690,413545,385458,25624,27450,20169,17925,7403,7454,3104,2797
R,1,2018,37,4382753,2193886,2188867,1668257,1614622,292284,319914,30985,28951,148489,168056,7178,6352,46693,50972,1708459,1658541,309323,339913,47800,47193,167281,188005,12470,11778,1718850,1749631,1248175,1228999,271097,297045,15821,16188,143772,163534,5045,4693,34940,39172,1277997,1262499,283049,311689,27041,28940,159557,180500,9245,9064,475036,439236,420082,385623,21187,22869,15164,12763,4717,4522,2133,1659,11753,11800,430462,396042,26274,28224,20759,18253,7724,7505,3225,2714
R,1,2018,38,4266383,2138381,2128002,1626894,1568906,284605,312280,29949,27675,145916,164458,6561,6118,44456,48565,1665272,1610602,300626,331360,46416,45180,163423,183445,11561,11306,1679521,1703269,1221342,1195732,263903,290197,15209,15394,141527,160189,4570,4576,32970,37181,1249551,1227407,274990,303997,26116,27647,156179,176296,8516,8742,458860,424733,405552,373174,20702,22083,14740,12281,4389,4269,1991,1542,11486,11384,415721,383195,25636,27363,20300,17533,7244,7149,3045,2564
